#,Depth,Year CE,Chironomous,Cladopelma lateralis,Cladotanytarsus mancus,Corynoneura arctica,Cricotopus cylindraceus,Cricotopus intersectus,Cricotopus laricomalis,Cricotopus type P,Cricotopus undiff,Derotanypus,Dicrotendipes nervosus,Endochironomous impar,Glyptotendipes barbipes,Guttipelopia,Limnophyes,Microspectra contracta,Pentaneurini,Paracladius,Parakeifferiella nigra,Paratanytarsus pencilatus,Paratendipes,Polypedilum nuberculosum ,Procladius,Psectrocladius calcaratus,Psectrocladius septentrionalis,Psectrocladius sordidellus,Psectrocladius undiff,Tanytarsus chinyensis,Tanytarsus glabrescens,Tanytarsus lactescens,Tanytarsus lugens,Tanytarsus mendax,Tanytarsus pallidicornis,Tanytarsus no spur,Tanytarsini undiff,Undifferentiated
1,0.25,2009.6,2.5,0,13,0,0,0.5,0,0,0,0,3.5,0,0,0,0.5,1,0,0,0.5,1.5,0,0,0,0,0.5,1,0,0,2,2,0,1,5.5,3,14.5,0
2,0.75,2009.2262,0,0,14,0,0,0.5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,2,1,0,9,10,6.5,1
3,1.25,2007.8231,2.5,1,12.5,0,0,0.5,0,0,0,0,5,0,0,0,0,0,0,0,1,3.5,0,0,2,0.5,1,5.5,0,0,1,8.5,0,12,6.5,15,5,3
4,1.75,2006.2548,4,0,10,0,0,1.5,0.5,0,0,0,7,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2.5,0,0,6,1,1,1,6,10.5,5,2.5
5,2.5,2003.5,0,0,16.5,0,0,1.5,0.5,0,0,1,3,1,0,0,0,0,0,0,0.5,2,0,0,2,0,0,2,0,0,12,3,0,2,10.5,17,10.5,2
6,3.25,2000.2758,0,0,5,0,0,4.5,1,0,0,0,4,0,0,0,0,0,0,0,0.5,2.5,0,0,0,0,2,4,0,0,8,2,0,4,9,10.5,9,4
7,3.75,1997.5192,3,0,7,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1.5,0,0,0,0,0,0.5,0,0,8,3,0,1,6,16.5,2,1
8,4.25,1994.8427,1,1,4,0,0,0.5,0,0,0,0,6.5,0,0,0,2,0,0,0,0,1.5,0,0,1,0,1.5,4,0,0,5,4,0,1,3,6,6.5,3.5
9,4.75,1991.6149,3.5,0,3,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0.5,1.5,0,0,2,0.5,0,2.5,0,0,9,2,0,0,5,8,3.5,4
10,5.25,1988.8594,3,0,6.5,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,2,0,0,3.5,0,0,0,7,2,5,0,9.5,4.5,1
11,6.25,1983.1899,0,0,6.5,0,0,1,0,0,0,1,6,0,0,0,0.5,1,0,0,0.5,2,0,0,1,0,0,1.5,0,0,7,0,0,2,2,19,5.5,5
12,7.25,1976.9946,3,0,6,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,3,0.5,0,5,0,0,6,4,0,3.5,4,19,8.5,1.5
13,8.25,1970.2128,0,0,11,0,0,4.5,0.5,0.5,0,0,5.5,0,0,1,0,0,0,0.5,0.5,3.5,0,1,3,0.5,0.5,3.5,0,0,8,3,0,4,4.5,13,11,4.5
14,9.5,1961.4,2.5,0,6,0,0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,0,0,4,0,0,2.5,0,0,3,1,0,1,5,9,14,1
15,10.25,1955.2149,2,0,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,2,0,1,1,6,0,7,1,9,8,1.5
16,11.5,1945,2,0,4,0,0,3,1,0,0,0,2,0.5,0,0,2,0,0,0,1.5,5.5,0,0,0,0,0,2.5,0,0,7,2,0,4,4,8.5,2.5,0.5
17,12.5,1936.8,0,1,2.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0.5,2,0,0,1,0,1,4,0,0,4,2,1,5,3.5,10,14,2.5
18,13.25,1921.1826,1,0,6,0,0,6.5,0,0,0,0,2,0,0,0,0,0,0,1,1.5,1.5,0,0,1,0,1,3.5,0.5,0,4,2,0,0,1,15.5,8,2
19,14.5,1913.9,1,0,3,0,1,3,0,0.5,0,0,2.5,1,0,0,0,1,0,0,0,4,0,0,1,0,1,3,0,0,11,2.5,0,1,6,3.5,4,0.5
20,15.25,1907.3976,1,0,7,0,1,5,0,0,0,0,6.5,0,2,0,0.5,0,0,0,1,1.5,0,0,1,0,0,4,0.5,0,1,8,0,5,3,8,5,3.5
21,20.25,1857.7,0,0,7,2,0,8.5,0,0,0,0,2,0,0,0,0,0,0,0.5,1,2,0,1,3,0,0,11,0,0,4,0,0,0,0,5.5,5,2
22,25.25,1811.9,0.5,0,5,1,0,18.5,0,0,0.5,0,0,0,0,0,2.5,0,0,0,0,1,0,0,0,1,0,13.5,1.5,0,0,1,0,2,3,11.5,5.5,7.5
23,30.25,1747.6,2.5,0,5,3,0,9,2,0,0,0,7,0,1,0,1.5,0,0,0,1.5,0.5,1,0,1,1,1,11,1.5,0,0,4,0,2,1,5,5.5,2
24,35.25,1686.2,0,0,12,0,0,12.5,1,0,0,0,6.5,0,1,0,0.5,0,0,0,0,4,0,0,0,1.5,0.5,8.5,1.5,0,1,3,0,2,3,3,1.5,4.5
25,39.25,1633.8,1.5,0,3,1,0,8.5,1.5,0,0,0,5,0,1,0,0,0,0,0,0.5,2.5,0,0,3,2,0.5,10,0,0,3,0,0,1,0.5,3,3.5,3.5
