#,Depth,Year CE,Comp01,Comp02,err1,err2,Tanon,Tanon2
1,0.25,2009.6,11.24305196,8.941556813,0.209433276,0.463988144,-0.520030765,-0.408979545
2,0.75,2009.2262,11.27119942,7.594820732,0.254949039,0.678648075,-0.491883305,-1.755715626
3,1.25,2007.8231,12.05077767,9.812062886,0.201496702,0.421855007,0.287694945,0.461526528
4,1.75,2006.2548,12.03680339,9.501280755,0.228762987,0.480971072,0.273720665,0.150744397
5,2.5,2003.5,11.88656535,9.696370486,0.202651805,0.498604406,0.123482625,0.345834128
6,3.25,2000.2758,11.40267652,8.994955278,0.1807861,0.415225488,-0.360406205,-0.35558108
7,3.75,1997.5192,12.23098542,9.106615801,0.284390242,0.631328037,0.467902695,-0.243920557
8,4.25,1994.8427,12.07179058,9.57940068,0.207665054,0.405386037,0.308707855,0.228864322
9,4.75,1991.6149,12.2282253,10.59610473,0.191372576,0.372211569,0.465142575,1.245568372
10,5.25,1988.8594,12.19354027,9.900614423,0.203332875,0.430366434,0.430457545,0.550078065
11,6.25,1983.1899,11.13989848,9.07094577,0.191546993,0.446624852,-0.623184245,-0.279590588
12,7.25,1976.9946,11.89727064,9.411707937,0.194325968,0.392537652,0.134187915,0.061171579
13,8.25,1970.2128,11.26729043,9.163172191,0.168393708,0.356611944,-0.495792295,-0.187364167
14,9.5,1961.4,11.43413766,8.490652865,0.205287697,0.38785985,-0.328945065,-0.859883493
15,10.25,1955.2149,11.33817314,8.794719701,0.202566701,0.390202432,-0.424909585,-0.555816657
16,11.5,1945,11.2693941,9.051134022,0.196529947,0.37788967,-0.493688625,-0.299402336
17,12.5,1936.8,11.90731943,9.827149879,0.179862025,0.38789601,0.144236705,0.476613521
18,13.25,1921.1826,10.56224783,8.501652821,0.165026031,0.342677111,-1.200834895,-0.848883537
19,14.5,1913.9,11.34819987,9.689612246,0.167023344,0.330184415,-0.414882855,0.339075888
20,15.25,1907.3976,11.67242546,9.405680195,0.185015716,0.364662,-0.090657265,0.055143837
21,20.25,1857.7,10.61235501,8.325102522,0.168150584,0.300903408,-1.150727715,-1.025433836
22,25.25,1811.9,10.45907608,7.403212757,0.19632244,0.354488219,-1.304006645,-1.947323601
23,30.25,1747.6,11.37462003,9.286177307,0.170462382,0.292574052,-0.388462695,-0.064359051
24,35.25,1686.2,11.50751652,8.79789439,0.182119892,0.381749885,-0.255566205,-0.552641968
25,39.25,1633.8,11.58942848,9.647212689,0.161008671,0.29109951,-0.173654245,0.296676331
